Address	Type	Color	ExtendedType
556	66703354	NEGATIVE	Magenta	Negative 506
557	56793432	NEGATIVE	Fuchsia	Negative 507
558	24744393	NEGATIVE	Orchid	Negative 508
559	14762352	NEGATIVE	Crimson	Negative 509
560	15794469	NEGATIVE	Pink	Negative 510
561	35761501	NEGATIVE	Red	Negative 511
562	52677505	NEGATIVE	Gray	Negative 512
563	73601495	NEGATIVE	Silver	Negative 513
564	67640436	NEGATIVE	Brown	Negative 514
565	51617379	NEGATIVE	Maroon	Negative 515
566	48683430	NEGATIVE	Plum	Negative 516
567	35714458	NEGATIVE	Coral	Negative 517
568	69652373	NEGATIVE	Sienna	Negative 518
569	43724337	NEGATIVE	Tan	Negative 519
570	49658386	NEGATIVE	Orange	Negative 520
571	70766461	NEGATIVE	Gold	Negative 521
572	20661394	NEGATIVE	Khaki	Negative 522
573	55669483	NEGATIVE	Olive	Negative 523
574	34630325	NEGATIVE	Yellow	Negative 524
575	13710478	NEGATIVE	Lime	Negative 525
576	46635484	NEGATIVE	Teal	Negative 526
577	34779461	NEGATIVE	Aqua	Negative 527
578	30762347	NEGATIVE	Cyan	Negative 528
579	36808443	NEGATIVE	Lavender	Negative 529
580	45708406	NEGATIVE	Navy	Negative 530
581	55670455	NEGATIVE	Blue	Negative 531
582	30689326	NEGATIVE	BlueViolet	Negative 532
583	42643451	NEGATIVE	Indigo	Negative 533
584	33730454	NEGATIVE	Violet	Negative 534
585	69659385	NEGATIVE	Purple	Negative 535
586	59731452	NEGATIVE	Magenta	Negative 536
587	60632306	NEGATIVE	Fuchsia	Negative 537
588	66793462	NEGATIVE	Orchid	Negative 538
589	56737301	NEGATIVE	Crimson	Negative 539
590	25621346	NEGATIVE	Pink	Negative 540
591	62653340	NEGATIVE	Red	Negative 541
592	56781365	NEGATIVE	Gray	Negative 542
593	71762482	NEGATIVE	Silver	Negative 543
594	73667338	NEGATIVE	Brown	Negative 544
595	15769506	NEGATIVE	Maroon	Negative 545
596	19775306	NEGATIVE	Plum	Negative 546
597	19625434	NEGATIVE	Coral	Negative 547
598	71775347	NEGATIVE	Sienna	Negative 548
599	44618314	NEGATIVE	Tan	Negative 549
600	21635460	NEGATIVE	Orange	Negative 550
601	59684453	NEGATIVE	Gold	Negative 551
602	73789449	NEGATIVE	Khaki	Negative 552
603	14719400	NEGATIVE	Olive	Negative 553
604	26658411	NEGATIVE	Yellow	Negative 554
605	33765459	NEGATIVE	Lime	Negative 555
606	26769463	NEGATIVE	Teal	Negative 556
607	42768497	NEGATIVE	Aqua	Negative 557
608	10744385	NEGATIVE	Cyan	Negative 558
609	26648509	NEGATIVE	Lavender	Negative 559
610	17796358	NEGATIVE	Navy	Negative 560
611	56626320	NEGATIVE	Blue	Negative 561
612	36803355	NEGATIVE	BlueViolet	Negative 562
613	68601372	NEGATIVE	Indigo	Negative 563
614	23631316	NEGATIVE	Violet	Negative 564
615	50636432	NEGATIVE	Purple	Negative 565
616	20666345	NEGATIVE	Magenta	Negative 566
617	26669386	NEGATIVE	Fuchsia	Negative 567
618	74720399	NEGATIVE	Orchid	Negative 568
619	33657423	NEGATIVE	Crimson	Negative 569
620	62672306	NEGATIVE	Pink	Negative 570
621	56602420	NEGATIVE	Red	Negative 571
622	72656385	NEGATIVE	Gray	Negative 572
623	19658444	NEGATIVE	Silver	Negative 573
624	61721300	NEGATIVE	Brown	Negative 574
625	26665427	NEGATIVE	Maroon	Negative 575
626	17799458	NEGATIVE	Plum	Negative 576
627	49700377	NEGATIVE	Coral	Negative 577
628	60632320	NEGATIVE	Sienna	Negative 578
629	60755343	NEGATIVE	Tan	Negative 579
630	24809342	NEGATIVE	Orange	Negative 580
631	22705438	NEGATIVE	Gold	Negative 581
632	33651323	NEGATIVE	Khaki	Negative 582
633	10731326	NEGATIVE	Olive	Negative 583
634	50699483	NEGATIVE	Yellow	Negative 584
635	26770499	NEGATIVE	Lime	Negative 585
636	15727485	NEGATIVE	Teal	Negative 586
637	36733310	NEGATIVE	Aqua	Negative 587
638	52665450	NEGATIVE	Cyan	Negative 588
639	70717333	NEGATIVE	Lavender	Negative 589
640	62632474	NEGATIVE	Navy	Negative 590
641	52672329	NEGATIVE	Blue	Negative 591
642	44760439	NEGATIVE	BlueViolet	Negative 592
643	16673481	NEGATIVE	Indigo	Negative 593
644	56788431	NEGATIVE	Violet	Negative 594
645	15797317	NEGATIVE	Purple	Negative 595
646	23740309	NEGATIVE	Magenta	Negative 596
647	17641445	NEGATIVE	Fuchsia	Negative 597
648	10760363	NEGATIVE	Orchid	Negative 598
649	21620397	NEGATIVE	Crimson	Negative 599
650	23786490	NEGATIVE	Pink	Negative 600
651	33677481	NEGATIVE	-99	Negative 601
652	14777361	NEGATIVE	-99	Negative 602
653	69729339	NEGATIVE	-99	Negative 603
654	37710397	NEGATIVE	-99	Negative 605
655	60682508	NEGATIVE	-99	Negative 606
656	40713496	NEGATIVE	-99	Negative 607
657	12641437	NEGATIVE	-99	Negative 608
658	48797398	NEGATIVE	-99	Negative 609
659	66764427	NEGATIVE	-99	Negative 610
660	74654383	NEGATIVE	-99	Negative 611
661	45807495	NEGATIVE	-99	Negative 612
662	37634407	NEGATIVE	-99	Negative 613
663	73603488	NEGATIVE	-99	Negative 614
664	41636384	RESTORATION	Green	Restore
665	43652393	NORM_A	Red	Norm_A1
666	18733503	NORM_G	Blue	Norm_G1
667	70603486	NORM_A	Red	Norm_A2
668	63775337	NORM_G	Blue	Norm_G2
669	70622474	NORM_A	Red	Norm_A3
670	58676498	NORM_G	Blue	Norm_G3
671	17630478	NORM_A	Red	Norm_A4
672	35689446	NORM_G	Blue	Norm_G4
673	15639322	NORM_A	Red	Norm_A5
674	61760309	NORM_G	Blue	Norm_G5
675	66624473	NORM_A	Red	Norm_A6
676	59734347	NORM_G	Blue	Norm_G6
677	18654457	NORM_A	Red	Norm_A7
678	67713480	NORM_G	Blue	Norm_G7
679	49636425	NORM_A	Red	Norm_A8
680	36806404	NORM_G	Blue	Norm_G8
681	31786303	NORM_A	Red	Norm_A9
682	16690480	NORM_G	Blue	Norm_G9
683	70700334	NORM_A	Red	Norm_A10
684	32689421	NORM_G	Blue	Norm_G10
685	42624324	NORM_A	Red	Norm_A11
686	39662476	NORM_G	Blue	Norm_G11
687	62796402	NORM_A	Red	Norm_A12
688	48709470	NORM_G	Blue	Norm_G12
689	67699483	NORM_A	Red	Norm_A13
690	67721390	NORM_G	Blue	Norm_G13
691	61620502	NORM_A	Red	Norm_A14
692	63724326	NORM_G	Blue	Norm_G14
693	16723352	NORM_A	Red	Norm_A15
694	54708463	NORM_G	Blue	Norm_G15
695	68641317	NORM_A	Red	Norm_A16
696	15733328	NORM_G	Blue	Norm_G16
697	48622429	NORM_A	Red	Norm_A17
698	51668449	NORM_G	Blue	Norm_G17
699	44620377	NORM_A	Red	Norm_A18
700	63640430	NORM_G	Blue	Norm_G18
701	33613483	NORM_A	Red	Norm_A19
702	25661400	NORM_G	Blue	Norm_G19
703	63602392	NORM_A	Red	Norm_A20
704	24744355	NORM_G	Blue	Norm_G20
705	31793441	NORM_A	Red	Norm_A21
706	52807455	NORM_G	Blue	Norm_G21
707	15747446	NORM_A	Red	Norm_A22
708	10804473	NORM_G	Blue	Norm_G22
709	72748406	NORM_A	Red	Norm_A23
710	59624459	NORM_G	Blue	Norm_G23
711	62710448	NORM_A	Red	Norm_A24
712	15642403	NORM_G	Blue	Norm_G24
713	11718309	NORM_A	Red	Norm_A25
714	69667417	NORM_G	Blue	Norm_G25
715	61626504	NORM_A	Red	Norm_A26
716	18658347	NORM_G	Blue	Norm_G26
717	49729303	NORM_A	Red	Norm_A27
718	63742354	NORM_G	Blue	Norm_G27
719	74662463	NORM_A	Red	Norm_A28
720	59764324	NORM_G	Blue	Norm_G28
721	68634356	NORM_A	Red	Norm_A29
722	48757493	NORM_G	Blue	Norm_G29
723	24636465	NORM_A	Red	Norm_A30
724	38796356	NORM_G	Blue	Norm_G30
725	36657375	NORM_A	Red	Norm_A31
726	28724405	NORM_G	Blue	Norm_G31
727	68744490	NORM_A	Red	Norm_A32
728	69624309	NORM_G	Blue	Norm_G32
729	26787359	NORM_C	Green	Norm_C1
730	60810444	NORM_T	Purple	Norm_T1
731	27756327	NORM_C	Green	Norm_C2
732	11641439	NORM_T	Purple	Norm_T2
733	56778357	NORM_C	Green	Norm_C3
734	71678368	NORM_T	Purple	Norm_T3
735	40720405	NORM_C	Green	Norm_C4
736	31707322	NORM_T	Purple	Norm_T4
737	51606350	NORM_C	Green	Norm_C5
738	43724438	NORM_T	Purple	Norm_T5
739	39615318	NORM_C	Green	Norm_C6
740	54713306	NORM_T	Purple	Norm_T6
741	67751351	NORM_C	Green	Norm_C7
742	37766401	NORM_T	Purple	Norm_T7
743	43751315	NORM_C	Green	Norm_C8
744	11742370	NORM_T	Purple	Norm_T8
745	25717484	NORM_C	Green	Norm_C9
746	25790300	NORM_T	Purple	Norm_T9
747	16739368	NORM_C	Green	Norm_C10
748	40666333	NORM_T	Purple	Norm_T10
749	34710461	NORM_C	Green	Norm_C11
750	11758414	NORM_T	Purple	Norm_T11
751	57799313	NORM_C	Green	Norm_C12
752	36621472	NORM_T	Purple	Norm_T12
753	35717396	NORM_C	Green	Norm_C13
754	30750303	NORM_T	Purple	Norm_T13
755	55732329	NORM_C	Green	Norm_C14
756	42722426	NORM_T	Purple	Norm_T14
757	38663386	NORM_C	Green	Norm_C15
758	26704364	NORM_T	Purple	Norm_T15
759	44650346	NORM_C	Green	Norm_C16
760	15681446	NORM_T	Purple	Norm_T16
761	73794434	NORM_C	Green	Norm_C17
762	31736353	NORM_T	Purple	Norm_T17
763	38708375	NORM_C	Green	Norm_C18
764	29774306	NORM_T	Purple	Norm_T18
765	63615474	NORM_C	Green	Norm_C19
766	33644415	NORM_T	Purple	Norm_T19
767	34642451	NORM_C	Green	Norm_C20
768	69660330	NORM_T	Purple	Norm_T20
769	18791508	NORM_C	Green	Norm_C21
770	36629493	NORM_T	Purple	Norm_T21
771	59756399	NORM_C	Green	Norm_C22
772	55772319	NORM_T	Purple	Norm_T22
773	35810456	NORM_C	Green	Norm_C23
774	33806355	NORM_T	Purple	Norm_T23
775	17719492	NORM_C	Green	Norm_C24
776	31775443	NORM_T	Purple	Norm_T24
777	55747501	NORM_C	Green	Norm_C25
778	46610354	NORM_T	Purple	Norm_T25
779	57649399	NORM_C	Green	Norm_C26
780	55662399	NORM_T	Purple	Norm_T26
781	17801437	NORM_C	Green	Norm_C27
782	19695407	NORM_T	Purple	Norm_T27
783	51761481	NORM_C	Green	Norm_C28
784	63623369	NORM_T	Purple	Norm_T28
785	43647400	NORM_C	Green	Norm_C29
786	59792509	NORM_T	Purple	Norm_T29
787	21666326	NORM_C	Green	Norm_C30
788	45648306	NORM_T	Purple	Norm_T30
789	15751492	NORM_C	Green	Norm_C31
790	12713402	NORM_T	Purple	Norm_T31
791	49714326	NORM_C	Green	Norm_C32
792	57713321	NORM_T	Purple	Norm_T32
793	67775306	NORM_C	Green	Norm_C33
794	67735372	NORM_T	Purple	Norm_T33
795	11651448	NORM_C	Green	Norm_C34
796	44631336	NORM_T	Purple	Norm_T34
797	12606314	NORM_C	Green	Norm_C35
798	73635489	NORM_T	Purple	Norm_T35
799	63709386	NORM_C	Green	Norm_C36
800	52747473	NORM_T	Purple	Norm_T36
801	49675379	NORM_C	Green	Norm_C37
802	68705481	NORM_T	Purple	Norm_T37
803	22667482	NORM_C	Green	Norm_C38
804	55799383	NORM_T	Purple	Norm_T38
805	56738460	NORM_C	Green	Norm_C39
806	49721486	NORM_T	Purple	Norm_T39
807	56656442	NORM_C	Green	Norm_C40
808	15681421	NORM_T	Purple	Norm_T40
809	22786434	NORM_C	Green	Norm_C41
810	23770483	NORM_T	Purple	Norm_T41
811	47796462	NORM_C	Green	Norm_C42
812	15754447	NORM_T	Purple	Norm_T42
813	29769366	NORM_C	Green	Norm_C43
814	44612371	NORM_T	Purple	Norm_T43
815	48634496	NORM_C	Green	Norm_C44
816	16759387	NORM_T	Purple	Norm_T44
817	73784382	NORM_C	Green	Norm_C45
818	68726417	NORM_T	Purple	Norm_T45
819	14669466	NORM_C	Green	Norm_C46
820	10714330	NORM_T	Purple	Norm_T46
821	24711322	NORM_C	Green	Norm_C47
822	20651487	NORM_T	Purple	Norm_T47
823	38781340	NORM_C	Green	Norm_C48
824	52668393	NORM_T	Purple	Norm_T48
825	52761413	NORM_C	Green	Norm_C49
826	28790326	NORM_T	Purple	Norm_T49
827	33780372	NORM_C	Green	Norm_C50
828	36711421	NORM_T	Purple	Norm_T50
829	71670310	NORM_C	Green	Norm_C51
830	29618498	NORM_T	Purple	Norm_T51
831	23684492	NORM_C	Green	Norm_C52
832	68657384	NORM_T	Purple	Norm_T52
833	34720366	NORM_C	Green	Norm_C53
834	58768373	NORM_T	Purple	Norm_T53
835	11739368	NORM_C	Green	Norm_C54
836	11749491	NORM_T	Purple	Norm_T54
837	62708477	NORM_C	Green	Norm_C55
838	55684415	NORM_T	Purple	Norm_T55
839	64609487	NORM_C	Green	Norm_C56
840	34667361	NORM_T	Purple	Norm_T56
841	56806464	NORM_C	Green	Norm_C57
842	31747339	NORM_T	Purple	Norm_T57
843	41745372	NORM_C	Green	Norm_C58
844	14656336	NORM_T	Purple	Norm_T58
845	65610474	NORM_C	Green	Norm_C59
846	65622344	NORM_T	Purple	Norm_T59
847	57640346	NORM_C	Green	Norm_C60
848	47715450	NORM_T	Purple	Norm_T60
849	28673402	NORM_C	Green	Norm_C61
850	13742412	NORM_T	Purple	Norm_T61
